tic,datafqtr,atq,cshoq,niq,prccq
JD,2017Q2,26650.392,1423.285,-72.687,39.22
JD,2017Q3,27118.807,1423.964,151.73,38.2
JD,2017Q4,28288.73,1426.332,-94.756,41.42
JD,2018Q1,29543.453,1427.227,243.111,40.49
JD,2018Q2,33030.124,1446.268,-346.977,38.95
JD,2018Q3,31088.781,1446.783,440.625,26.09
JD,2018Q4,30411.441,1447.148,-699.029,20.93
JD,2019Q1,31934.899,1447.524,1090.547,30.15
JD,2019Q2,35748.513,1458.871,65.38,30.29
JD,2019Q3,34393.049,1460.161,40.286,28.21
JD,2019Q4,37300.534,1462.158,553.629,35.23
JD,2020Q1,37523.408,1463.166,151.511,40.5
JD,2020Q2,49890.366,1538.951,2328.205,60.18
JD,2020Q3,55128.463,1549.877,1214.135,77.61
JD,2020Q4,64718.436,1551.75,3877.831,87.9
JD,2021Q1,63331.787,1546.956,552.024,84.33
JD,2021Q2,73736.892,1552.156,131.178,79.81
JD,2021Q3,74958.049,1553.27,-434.14,72.24
JD,2021Q4,78160.4,1555.396,-809.479,70.07
JD,2022Q1,80786.566,1557.5,-471.768,57.87
JD,2022Q2,82649.218,1561.5,678.499,64.22
JD,2022Q3,81464.897,1565.5,826.127,50.3
JD,2022Q4,86303.512,1567.839,472.107,56.13
JD,2023Q1,80216.36,1566.5,911.437,43.89
JD,2023Q2,83273.649,1573,859.316,34.13
JD,2023Q3,84612.284,1573.5,1076.824,29.13
JD,2023Q4,88702.154,1568.832,560.703,28.89
JD,2024Q1,83351,1526.931,987,27.39
QTWO,2014Q1,125.538,32.907,-5.566,15.53
QTWO,2014Q2,133.522,34.093,-4.683,14.26
QTWO,2014Q3,133.297,34.195,-4.625,14
QTWO,2014Q4,136.806,34.696,-4.76,18.84
QTWO,2015Q1,171.043,37.188,-4.645,21.14
QTWO,2015Q2,169.694,37.309,-4.982,28.25
QTWO,2015Q3,198.715,38.714,-7.016,24.72
QTWO,2015Q4,204.468,38.889,-8.42,26.37
QTWO,2016Q1,203.591,39.195,-9.652,24.04
QTWO,2016Q2,200.245,39.713,-9.708,28.02
QTWO,2016Q3,205.284,40.114,-9.481,28.66
QTWO,2016Q4,200.98,40.425,-7.513,28.85
QTWO,2017Q1,191.586,40.93,-7.04,34.85
QTWO,2017Q2,193.4,41.225,-7.821,36.95
QTWO,2017Q3,205.467,41.652,-5.782,41.65
QTWO,2017Q4,212.815,41.967,-5.521,36.85
QTWO,2018Q1,421.854,42.404,-6.048,45.55
QTWO,2018Q2,418.763,42.85,-8.627,57.05
QTWO,2018Q3,435.101,43.337,-8.859,60.55
QTWO,2018Q4,463.72,43.535,-11.863,49.55
QTWO,2019Q1,490.407,44.116,-19.311,69.26
QTWO,2019Q2,951.782,47.57,-17.331,76.36
QTWO,2019Q3,977.684,48.11,-18.569,78.87
QTWO,2019Q4,1009.434,48.386,-15.666,81.08
QTWO,2020Q1,1002.498,48.963,-34.108,59.06
QTWO,2020Q2,1281.579,53.433,-38.971,85.79
QTWO,2020Q3,1293.511,53.872,-26.72,91.26
QTWO,2020Q4,1416.702,55.562,-37.821,126.53
QTWO,2021Q1,1420.5,56.28,-25.655,100.2
QTWO,2021Q2,1383.599,56.464,-30.127,102.58
QTWO,2021Q3,1379.647,56.816,-31.583,80.14
QTWO,2021Q4,1385.045,56.928,-25.381,79.44
QTWO,2022Q1,1364.104,57.2,-23.559,61.65
QTWO,2022Q2,1343.696,57.313,-25.222,38.57
QTWO,2022Q3,1333.398,57.517,-27.791,32.2
QTWO,2022Q4,1349.726,57.735,-32.411,26.87
QTWO,2023Q1,1184.392,58.198,-0.516,24.62
QTWO,2023Q2,1172.687,58.447,-23.622,30.9
QTWO,2023Q3,1179.249,58.635,-23.167,32.27
QTWO,2023Q4,1201.425,59.031,-18.079,43.41
QTWO,2024Q1,1228.387,60.099,-13.843,52.56
PAYC,2014Q2,440.195,51.041,-0.593,14.59
PAYC,2014Q3,522.956,51.056,2.69,16.56
PAYC,2014Q4,798.942,53.833,2.506,26.33
PAYC,2015Q1,739.589,56.564,5.995,32.06
PAYC,2015Q2,699.182,57.051,5.946,34.15
PAYC,2015Q3,781.582,57.051,3.847,35.91
PAYC,2015Q4,876.773,57.12,5.157,37.63
